model,input_family,outer_fold,pm,target_id,lag_seconds,context_windows,earliest_context_offset_seconds,context_description,threshold_hash,q_low,q_high,n_train,n_test,n_train_subjects,n_test_subjects,train_target_sample_hash,test_target_sample_hash,train_input_endpoint_hash,test_input_endpoint_hash,specification_hash,run_id
torch_shallow_convnet,raw,1,attention,target_attention,-10,1,-10,PM(t) <- raw EEG(t-10),40889ed77c7a49254028614aa69c424c2355cbd1baaed50dc47082b1864510f7,0.40640833333333337,0.5057536666666667,15241,4275,42,11,ac837e636c0af28f8f72f207807d0e14cc379ae7c862995d0eb12a18fdab8cd7,de154b1d153684c0260152372adf02e4ae0c6c7af5b1e8a263cb7029826d6bff,b399c79bba31aa1c37c00ed923b19f039a0ab37531458d23bfc60df198160097,f6cff4f145606f5b72614c2a86b816d06598f4ef3791d36d36c1575996765b37,a8241fc0cc9c8bba5658831602be6cfec28668426fbf203ae43f6cd23e9bee78,torch_shallow_convnet__fold_01__attention__a8241fc0cc9c
torch_shallow_convnet,raw,1,engagement,target_engagement,-10,1,-10,PM(t) <- raw EEG(t-10),7d374ea6928381e1ee56d96473fa6567757f8df43407f81bbd24c398d82e419e,0.5800476666666666,0.6855443333333333,15934,4556,42,11,2f364e6dd6dac221493bbb8db98c51438d544371f8f0610cd470727d40b9c04b,67f354ee89ea37a61a3ada66cd680b7acca6402cf988484a3f103bbe6a1ea308,82b93c133e01685d5cea32129a6704b11a055d3ee5cc2081922a1c651a99da35,7d2be9f0360ed9a1dd749fe39569ebbaf620daffccac0b1beec228f8cb7bd52f,a30ddeec687b668d0184cb06dd3a1fa7ac99871a68a01d2120e970500ddeef2f,torch_shallow_convnet__fold_01__engagement__a30ddeec687b
torch_shallow_convnet,raw,1,excitement,target_excitement,-10,1,-10,PM(t) <- raw EEG(t-10),f13db677a8358b59d7e0528258ba7ff9bf95b5314741ce39a724cf74d183ddaa,0.198928,0.3627136666666666,15941,4710,43,11,46755c1e20e5799d3c8e3c0be4a2f4a3f18856086f1b6fe611eda5fc71a849dd,e43df2977fae51181563a89ebe1901ff393e6b5cba8ed408ad7fc9b9f35a396f,1d54b2a414546351dc0da5cdba629674b1f2d204cb67a1273207d4ba8ef0789b,eaf71fdcbb22ea67481b6604a7bb86254672f17c549d885408573f60161fb479,c4a19bbcc6c1f832de8722a220a96741c91b7aa07e28e19471e5be99f50a006d,torch_shallow_convnet__fold_01__excitement__c4a19bbcc6c1
torch_shallow_convnet,raw,1,stress,target_stress,-10,1,-10,PM(t) <- raw EEG(t-10),bc3be14a13e7a39ebeab010389e1c408e3b117b37aecad2317d7955676362ffa,0.4029856666666667,0.461275,15924,4905,43,11,5646662f70b23c348f500bc8018a5f316a9dcaa12c89cf89cf99c0ffff37fe88,27316e27e81623be5710188c4bbac0e88bcacf5cadc8bb5a949740e60da30e9c,eeeb5352885311d9cfa9d6956c3443ba73a949004c45c0a85a2378ce7f4d8f90,66de27e25f100e9d29a4653124f1bfd527f991e4d539d5214ae7899db29da5b4,6facf1f6a85ff06418d0b21f43f99cb90e27c7427a6e3a15487fec913bef17ab,torch_shallow_convnet__fold_01__stress__6facf1f6a85f
torch_shallow_convnet,raw,1,relaxation,target_relaxation,-10,1,-10,PM(t) <- raw EEG(t-10),38b0c29f91cf04074516bcbbf6cf6e9362b22718f7ac54fdbe5adf6de43d5d14,0.25662399999999996,0.39230799999999993,15947,4860,43,11,80bdf541d6d3f3dc1ccae382c9f7be6cac38ef75bc83ec94bf56735813804e10,c1afb9aa0088b812a4435cbb039e93c3b5ee862be868e1f9fddad73d9039f84e,32f8e8b0ffcedfef69255b5ce66998b16fc87723d0434002289945417a787fd9,66558bef91c30e40a4f6eb41e9eb7c4ccd09271262504465e5f3375eef9770e8,1ba9cb9edaed10688139de56eab33c562cebfd92ee38be8e6a1251d48e7fc3e1,torch_shallow_convnet__fold_01__relaxation__1ba9cb9edaed
torch_shallow_convnet,raw,1,interest,target_interest,-10,1,-10,PM(t) <- raw EEG(t-10),bd39db4c19d9f742cb059d0566f550cf160821412eeb67d3cc0780042dbd7317,0.480751,0.5305233333333333,15927,4692,43,11,5ca8d61de646678312a2d530cab97192f5b8c2fdb963f8ebda9a06db87a1f1fc,a0260a8ab39881763eb4e325fd53edc7ec081f92af2727d8594f4df8879b5c2c,6f1d4a5900c192745656bd2d6ff163d9790629e38ac7b4b2a9d24880ed1a07de,d39782e0ffa7c918438f500e2b633e1dc39419a89a0a075f81f91ff59c8dac98,e47218b7b9bcf0bec751b766cce586a50fae85109e14a07054db56d35c6e71da,torch_shallow_convnet__fold_01__interest__e47218b7b9bc
torch_shallow_convnet,raw,1,focus,target_focus,-10,1,-10,PM(t) <- raw EEG(t-10),7d71bb99b3a559d0df0aa3bf8b195bafc98a0dd046a82039a430a2fa4892b0d0,0.368801,0.4654386666666666,15934,4745,43,11,13c8256d6c504d64c2aafbcf8afda590c95af37fa8630180dd05588323d3acaf,381d93223110b7cd5af5a9072e8cc67788a90d37fc4f882691959ddfbd2affcf,f83e278b3def8b6f1e6b965c59706cd6f377788b93c4e02b4d49c5eacb15417c,fde4e1301e33d142d5dcd63065591b919e99398ab260eedcaac33f11635647bd,ad975bd05eafdacb110ef7634ef4a079e3a0a8bd94b3e7eee3f416ef02ac4367,torch_shallow_convnet__fold_01__focus__ad975bd05eaf
torch_shallow_convnet,raw,2,attention,target_attention,-10,1,-10,PM(t) <- raw EEG(t-10),05b80bfaecd22890a7e360375d08013c2763762bc191dded6a0bbd75f29be07f,0.409755,0.5089703333333333,15830,3758,43,10,268687b6f9714bde2a4a9a04b3242317a7f895633752dd62d71cf4dc00d641ec,b4cc1d71691f8cf260d0ed50d1954ca1777308d68077cd47de86eaee2da12b48,95d8240be805e61095cbbe7e2a37a5ba5a44f151a9c4522e26d1f40d7922d07b,02f787779b328cbcfbffe41e4eeb639fcf46f074e0d600b6433df05a86a16142,f811824c6d25185c62522fd8c146d113acc0c82531b98dcdd2ea33cb9dee8776,torch_shallow_convnet__fold_02__attention__f811824c6d25
torch_shallow_convnet,raw,2,engagement,target_engagement,-10,1,-10,PM(t) <- raw EEG(t-10),96921223f37aee74e8576505e04d8d93656b6d22365a8c1e79d1aadc606e3780,0.572122,0.682083,16404,3812,43,10,878c34cf2e7399941af30ed0623103fcf66324e3c84753cfd8725855ef681b41,d1c0c3f41a197b888e61f826c8d257e63f594530cdcdb07e36b2712683c8bfb2,b37a481ef0ce0877634e371e81ec1c1c4b09bdec6c94e96005085969283ee92a,337f3071d243e84dd890fd68bf867d9541498e854e1d1aad211ac28da8a94269,4b64485a9e8b0324581f73f47d38a18fee871582622c5427a1903df28b77d551,torch_shallow_convnet__fold_02__engagement__4b64485a9e8b
torch_shallow_convnet,raw,2,excitement,target_excitement,-10,1,-10,PM(t) <- raw EEG(t-10),8cf290447cc76b4db2bf7811a784e38768237f66e910c108ea9bd99fce1b2673,0.194812,0.357134,16414,4099,43,11,8128443e2c1fbe267985083ef437ccfcd31a09508cbb3f5c8359013491a7ae1d,69a9b4d35b261a91db756d8fd8a63d9bfcd811749fe9eb36bb3d4d3db0161c73,88ce018c77aaf27b1b5e66feb5c6f988715cf32f567687578ca9c80deb376472,63a6329ba600c71c5fea9a13fb3fbef9a16fa7a3b0a88e2a17120a295dfe6376,29461198f4224ce0435c584d4e9d8daa4e470b9a20adc5e59603d67b7573778e,torch_shallow_convnet__fold_02__excitement__29461198f422
